Applications, Openings
728,786
997,1118
1183,1183
221,246
1237,1277
1789,1887
1059,976
1157,1092
1453,1504
644,670
1077,956
318,312
1321,1272
990,958
639,630
855,825
1415,1349
1241,1061
362,281
137,109
1538,1190
590,427
1667,1274
1512,1206
502,402
258,209
112,83
877,657
41,30
1911,1444
1216,910
1406,1034
1387,1182
239,175
1889,1372
110,78
1814,1383
1603,1392
1917,1572
1070,750
1842,1266
1838,1421
33,25
929,613
516,304
832,571
1882,1087
1998,1480
666,422
1861,1276
945,591
1399,804
80,48
604,341
1187,625
1309,820
1743,934
553,276
1862,899
1723,911
1956,974
957,461
987,478
1089,598
1148,635
1180,614
938,452
6,3
136,69
216,122
1533,865
697,383
579,332
969,623
1864,997
1472,763
367,206
1205,649
1607,1011
507,292
965,606
1801,1073
235,136
212,130
1881,1198
640,407
102,65
1709,969
483,257
225,118
288,178
1445,766
1127,687
1344,777
294,181
470,308
1849,1071
994,517
1085,572
1384,754
140,69
865,460
1986,1183
1631,1019
522,328
1706,903
1357,888
96,59
1565,1037
435,259
1371,891
1507,1053
1644,1108
1590,1063
134,85
460,294
1149,820
1826,1310
1598,1136
1410,996
1855,1357
90,70
1991,1307
489,373
186,136
1563,1014
1416,990
537,392
1520,928
1850,1411
60,47
220,163
1240,844
1248,900
1652,1259
428,354
1303,974
1479,1005
156,116
28,20
1587,1139
1580,1052
1662,1163
1686,1196
1054,702
906,536
1439,974
877,589
1165,695
1647,1131
1916,1123
1007,710
231,156
349,249
1056,662
300,178
1010,572
362,209
376,212
1198,670
1384,712
836,463
1585,783
1700,861
1409,803
1387,753
1720,894
1527,751
745,445
287,152
1274,650
1899,855
582,305
1461,784
1291,662
825,481
1069,569
1986,963
919,489
639,337
1402,647
795,413
665,339
1954,1114
426,253
322,192
1472,891
528,349
183,114
1490,1090
701,512
1645,1288
975,676
1489,980
1776,1289
1555,1062
851,544
1352,888
264,160
880,598
293,182
1463,1084
1172,797
706,450
1177,817
750,531
884,605
82,55
564,360
942,579
1166,647
1278,784
1950,1107
1789,938
981,538
1342,751
273,173
1571,925
1706,951
1508,743
1905,925
636,310
704,381
1192,561
1721,956
990,468
613,285
764,338
602,308
124,52
952,395
834,347
342,135
1229,491
536,185
1046,353
159,61
817,366
411,190
281,122
517,218
1787,723
1909,934
32,14
674,318
878,425
810,380
893,469
1622,833
294,167
224,103
832,456
1712,796
1676,889
498,278
1289,714
947,531
1059,617
169,86
758,366
1852,968
518,306
1606,929
875,460
214,110
1384,735
42,24
1147,586
697,346
1526,816
1506,695
1392,716
1597,817
197,105
1163,643
1036,505
765,434
1660,1003
1719,1020
1070,662
397,203
1838,1089
1904,1057
1047,583
1904,1116
636,336
1907,1047
818,453
125,60
429,197
854,431
1294,681
584,287
1436,738
525,253
1127,588
549,238
181,81
1037,535
91,44
1507,648
1545,651
266,127
1169,549
1284,520
1208,518
499,241
1909,872
1594,847
1541,811
1660,786
602,275
195,96
532,288
1797,870
1621,825
285,143
1485,850
1055,581
1127,560
1941,1014
1869,1060
1957,1110
1569,948
1269,772
820,512
161,100
860,549
1513,868
1378,831
17,11
1780,1018
1105,743
1338,825
1778,1165
1545,1058
1896,1082
622,396
1128,679
1347,863
907,688
221,151
529,401
341,272
537,383
1845,1315
1587,1219
427,313
1604,1182
982,694
1563,1128
95,71
1606,1197
594,378
1777,1342
41,27
472,305
1029,681
132,92
1403,937
1508,1046
333,243
1601,1201
1409,927
569,377
322,221
581,398
818,581
1163,766
502,383
1144,804
1743,1324
955,725
1320,1130
945,855
1011,843
139,130
1194,908
597,456
37,32
130,107
1093,895
192,160
1113,879
1856,1488
869,656
941,743
385,293
829,556
540,400
802,560
699,558
765,536
1055,692
1028,748
1862,1323
1748,1254
890,702
1047,825
836,659
449,306
1139,807
263,158
1709,1018
1128,721
141,93
497,330
681,402
872,543
851,533
80,44
1724,909
570,354
464,262
1772,1002
1604,926
1412,910
739,395
1722,1014
1253,780
1120,735
1825,969
689,426
1540,808
1350,707
1320,662
707,340
1060,556
407,211
317,164
540,287
343,160
822,388
1766,897
1240,683
1484,722
383,181
1151,569
1830,930
1718,841
1994,965
1925,1002
1811,801
1656,826
768,344
1226,580
340,169
251,118
1967,906
708,377
171,96
1420,718
609,324
1268,611
1524,859
1269,734
1353,828
68,37
1576,857
1883,968
1424,688
1263,693
1116,642
408,242
674,380
1246,748
1255,778
770,446
943,581
1457,870
910,555
1652,1035
657,355
1641,975
254,154
250,150
560,293
1699,1031
511,320
1785,992
1346,698
637,339
1255,724
1145,624
268,154
1263,754
1321,769
55,35
484,317
711,416
1695,967
389,234
759,459
1825,1130
595,379
1888,1103
1708,1118
747,389
20,11
636,372
316,183
198,122
901,550
1137,578
142,72
1935,1071
1173,651
702,407
1391,762
1797,1008
234,129
1193,582
1824,912
70,31
361,169
49,24
1378,613
406,165
1492,723
105,55
346,176
1258,638
1698,860
911,488
1289,687
738,382
1736,1024
512,284
177,94
177,106
309,200
776,446
1070,560
1297,654
1389,707
193,92
1049,490
1315,584
23,11
1679,868
282,145
1788,927
889,445
591,270
578,273
161,80
1306,634
1266,692
300,161
784,417
1242,562
90,41
1688,805
661,268
803,315
1543,522
1482,506
834,273
723,239
445,153
1445,467
175,69
1167,460
528,229
775,320
1535,760
1774,912
42,22
437,218
1532,877
1966,1007
1159,662
636,372
1587,920
1073,524
143,74
57,24
1399,645
1820,944
1149,594
1269,689
1943,1104
1566,906
1096,703
1572,1037
1767,1184
1073,662
1525,1120
1023,692
1236,726
799,474
487,329
1844,1177
1048,781
788,595
141,97
699,479
251,146
1538,1054
130,89
420,258
1878,1133
1972,1253
1430,762
1947,1034
1005,592
1673,1058
1713,908
940,499
326,161
1959,937
1292,673
1467,765
459,198
515,208
1254,613
1060,469
1875,970
1394,661
1059,576
720,366
1757,956
1475,942
1313,803
56,31
1600,889
1845,1082
918,536
1805,1198
958,614
1393,845
1886,1264
439,267
913,510
1356,796
976,655
1770,979
1617,983
883,492
752,444
1122,647
869,536
1503,968
880,561
73,45
1092,705
65,33
827,498
1808,1079
128,82
1771,1154
1421,935
887,546
1394,799
1248,786
1601,1018
488,309
440,277
829,502
303,190
1839,1022
25,15
803,514
211,111
1255,809
1880,1121
749,430
1979,1313
1251,761
44,28
697,436
1870,1253
320,182
791,499
221,126
746,488
961,557
1374,844
1050,576
823,452
338,202
628,414
330,221
1895,1375
1386,927
784,550
229,173
709,497
679,463
218,159
806,583
1166,779
984,618
181,123
1834,1066
1248,720
858,516
533,304
144,85
1121,599
479,319
384,226
302,162
1983,1010
633,314
1850,1092
281,186
1499,928
557,291
830,421
651,327
1204,627
1752,968
577,267
610,275
977,488
196,89
1832,747
341,135
1562,700
167,74
1060,418
664,277
983,434
1873,747
27,11
482,189
161,55
464,167
989,329
1523,448
1010,322
1343,438
672,220
246,82
599,171
425,128
